"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"36061","0","10","70","0","2021","1","","New York County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",126191,2095167,2110051,2129090,108689937870,18387084020,665064903,3960,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5225,-4.0,-406857,-16.3,-408440,-16.2,-366534,-14.7,2104815444,2.0,-2975839161,-13.9,160578018,31.8,687,21.0
"36061","0","10","70","0","2021","2","","New York County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",124941,2145917,2156378,2183482,71793272256,3730049287,140432763,2554,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4887,-3.8,99538,4.9,121679,6.0,134301,6.6,7304398576,11.3,1334683041,55.7,81821112,139.6,126,5.2
"36061","0","10","70","0","2021","3","","New York County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",124314,2202470,2207191,2232044,71736662443,3272150763,125782634,2493,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-5298,-4.1,134951,6.5,117981,5.6,123343,5.8,8188009129,12.9,1354406373,70.6,77937728,162.9,152,6.5
"36061","0","10","70","0","2021","4","","New York County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",127947,2291595,2321824,2337095,97601061118,3325629847,129539539,3241,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-1886,-1.5,137388,6.4,157758,7.3,176183,8.2,12256856595,14.4,1335524505,67.1,77091803,147.0,201,6.6
"36061","1","10","71","0","2021","1","","New York County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",146,21208,21030,20914,527132969,0,0,1926,"",0.20,0.49,0.48,0.48,0.19,0.00,0.00,0.40,"",0,0.0,-620,-2.8,-699,-3.2,-745,-3.4,-2985709,-0.6,0,0.0,0,0.0,50,2.7
"36061","1","10","71","0","2021","2","","New York County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",146,21569,20979,20929,607630091,0,0,2209,"",0.21,0.49,0.48,0.48,0.29,0.00,0.00,0.60,"",1,0.7,-130,-0.6,-500,-2.3,-603,-2.8,5334975,0.9,0,0.0,0,0.0,61,2.8
"36061","1","10","71","0","2021","3","","New York County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",146,20990,21002,21141,528298557,0,0,1931,"",0.21,0.47,0.48,0.48,0.28,0.00,0.00,0.60,"",1,0.7,-668,-3.1,-2856,-12.0,-2765,-11.6,-4740787,-0.9,0,0.0,0,0.0,159,9.0
"36061","1","10","71","0","2021","4","","New York County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",147,21030,21331,21502,617421911,0,0,2231,"",0.21,0.47,0.47,0.47,0.25,0.00,0.00,0.52,"",2,1.4,-1385,-6.2,-465,-2.1,-415,-1.9,157793,0.0,0,0.0,0,0.0,77,3.6
"36061","1","102","72","0","2021","1","","New York County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",146,21208,21030,20914,527132969,0,0,1926,"",0.20,0.50,0.49,0.49,0.20,0.00,0.00,0.40,"",0,0.0,-620,-2.8,-699,-3.2,-745,-3.4,-2985709,-0.6,0,0.0,0,0.0,50,2.7
"36061","1","102","72","0","2021","2","","New York County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",146,21569,20979,20929,607630091,0,0,2209,"",0.21,0.50,0.49,0.49,0.30,0.00,0.00,0.60,"",1,0.7,-130,-0.6,-500,-2.3,-603,-2.8,5334975,0.9,0,0.0,0,0.0,61,2.8
"36061","1","102","72","0","2021","3","","New York County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",146,20990,21002,21141,528298557,0,0,1931,"",0.21,0.48,0.49,0.48,0.29,0.00,0.00,0.60,"",1,0.7,-668,-3.1,-2856,-12.0,-2765,-11.6,-4740787,-0.9,0,0.0,0,0.0,159,9.0
"36061","1","102","72","0","2021","4","","New York County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",147,21030,21331,21502,617421911,0,0,2231,"",0.21,0.48,0.48,0.48,0.25,0.00,0.00,0.52,"",2,1.4,-1385,-6.2,-465,-2.1,-415,-1.9,157793,0.0,0,0.0,0,0.0,77,3.6
"36061","1","1021","73","0","2021","1","","New York County, New York","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",53,5958,5811,5774,97158003,0,0,1278,"",0.15,0.59,0.57,0.57,0.20,0.00,0.00,0.35,"",0,0.0,-298,-4.8,-337,-5.5,-340,-5.6,-7842920,-7.5,0,0.0,0,0.0,-31,-2.4
