"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"36081","0","10","70","0","2021","1","","Queens County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",53434,631864,635906,643667,9462788192,3758427940,138285338,1142,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-800,-1.5,-82934,-11.6,-80034,-11.2,-63556,-9.0,-818646504,-8.0,-450612239,-10.7,43202748,45.4,32,2.9
"36081","0","10","70","0","2021","2","","Queens County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",53162,651557,655408,660726,10213181637,1508539107,54398139,1198,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-508,-0.9,106442,19.5,87699,15.4,71226,12.1,1543608869,17.8,440634470,41.3,31418446,136.7,23,2.0
"36081","0","10","70","0","2021","3","","Queens County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",53650,663229,661979,670955,10387147399,911395516,33632826,1201,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-471,-0.9,60420,10.0,40003,6.4,35665,5.6,1100253693,11.8,141667073,18.4,15956490,90.3,49,4.3
"36081","0","10","70","0","2021","4","","Queens County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",56020,680404,686392,689751,11656869971,865374389,31899582,1308,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1499,2.7,33922,5.2,34947,5.4,37467,5.7,874839731,8.1,186152714,27.4,15658546,96.4,32,2.5
"36081","1","10","71","0","2021","1","","Queens County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",94,13537,13436,13417,254675238,0,0,1455,"",0.31,1.03,1.03,1.02,1.07,0.00,0.00,1.04,"",5,5.6,-384,-2.8,-524,-3.8,-574,-4.1,502405,0.2,0,0.0,0,0.0,54,3.9
"36081","1","10","71","0","2021","2","","Queens County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",94,13842,13391,13437,287474305,0,0,1631,"",0.31,1.05,1.02,1.01,0.97,0.00,0.00,0.94,"",5,5.6,-156,-1.1,-390,-2.8,-462,-3.3,-1641599,-0.6,0,0.0,0,0.0,30,1.9
"36081","1","10","71","0","2021","3","","Queens County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",94,13411,13422,13355,255827397,0,0,1469,"",0.31,1.00,1.01,1.00,0.95,0.00,0.00,0.94,"",-1,-1.1,-652,-4.6,-4463,-25.0,-3818,-22.2,-16311189,-6.0,0,0.0,0,0.0,190,14.9
"36081","1","10","71","0","2021","4","","Queens County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",94,13295,13601,13877,301575602,0,0,1707,"",0.31,1.00,1.02,1.03,1.01,0.00,0.00,0.99,"",0,0.0,-1411,-9.6,-544,-3.8,-290,-2.0,-3514990,-1.2,0,0.0,0,0.0,70,4.3
"36081","1","102","72","0","2021","1","","Queens County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",94,13537,13436,13417,254675238,0,0,1455,"",0.31,1.05,1.05,1.04,1.09,0.00,0.00,1.04,"",5,5.6,-384,-2.8,-524,-3.8,-574,-4.1,502405,0.2,0,0.0,0,0.0,54,3.9
"36081","1","102","72","0","2021","2","","Queens County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",94,13842,13391,13437,287474305,0,0,1631,"",0.31,1.07,1.03,1.03,0.99,0.00,0.00,0.94,"",5,5.6,-156,-1.1,-390,-2.8,-462,-3.3,-1641599,-0.6,0,0.0,0,0.0,30,1.9
"36081","1","102","72","0","2021","3","","Queens County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",94,13411,13422,13355,255827397,0,0,1469,"",0.31,1.02,1.03,1.02,0.97,0.00,0.00,0.94,"",-1,-1.1,-652,-4.6,-4463,-25.0,-3818,-22.2,-16311189,-6.0,0,0.0,0,0.0,190,14.9
"36081","1","102","72","0","2021","4","","Queens County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",94,13295,13601,13877,301575602,0,0,1707,"",0.31,1.02,1.03,1.05,1.02,0.00,0.00,0.99,"",0,0.0,-1411,-9.6,-544,-3.8,-290,-2.0,-3514990,-1.2,0,0.0,0,0.0,70,4.3
"36081","1","1021","73","0","2021","1","","Queens County, New York","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",69,5012,4920,4926,82849886,0,0,1287,"",0.45,1.64,1.60,1.60,1.96,0.00,0.00,1.21,"",5,7.8,-51,-1.0,-89,-1.8,-91,-1.8,6117627,8.0,0,0.0,0,0.0,113,9.6
"36081","1","1021","73","0","2021","2","","Queens County, New York","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",69,5326,4865,4913,91598485,0,0,1400,"",0.46,1.71,1.60,1.61,1.78,0.00,0.00,1.08,"",5,7.8,306,6.1,-61,-1.2,-60,-1.2,322327,0.4,0,0.0,0,0.0,-12,-0.8
"36081","1","1021","73","0","2021","3","","Queens County, New York","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",69,4898,4909,4924,77597904,0,0,1216,"",0.47,1.59,1.61,1.59,1.72,0.00,0.00,1.08,"",-1,-1.4,-24,-0.5,-105,-2.1,-103,-2.0,-2282977,-2.9,0,0.0,0,0.0,-16,-1.3
"36081","1","1021","73","0","2021","4","","Queens County, New York","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",69,4822,5135,5368,93511262,0,0,1408,"",0.46,1.57,1.62,1.67,1.75,0.00,0.00,1.08,"",0,0.0,-215,-4.3,-212,-4.0,-195,-3.5,561167,0.6,0,0.0,0,0.0,63,4.7
"36081","1","1025","73","0","2021","1","","Queens County, New York","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,537,545,538,10341268,0,0,1473,"",0.14,0.27,0.28,0.27,0.29,0.00,0.00,1.05,"",0,0.0,-4,-0.7,-6,-1.1,-9,-1.6,362013,3.6,0,0.0,0,0.0,68,4.8
"36081","1","1025","73","0","2021","2","","Queens County, New York","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,533,531,519,11513405,0,0,1678,"",0.15,0.27,0.27,0.26,0.26,0.00,0.00,0.97,"",0,0.0,-5,-0.9,0,0.0,-21,-3.9,415731,3.7,0,0.0,0,0.0,86,5.4
"36081","1","1025","73","0","2021","3","","Queens County, New York","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,523,518,511,9771523,0,0,1453,"",0.15,0.26,0.26,0.26,0.25,0.00,0.00,0.94,"",0,0.0,-26,-4.7,-28,-5.1,-37,-6.8,-462734,-4.5,0,0.0,0,0.0,16,1.1
"36081","1","1025","73","0","2021","4","","Queens County, New York","Federal Government","1025 Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,531,522,522,11614155,0,0,1702,"",0.14,0.27,0.26,0.26,0.26,0.00,0.00,0.98,"",0,0.0,-15,-2.7,-19,-3.5,-34,-6.1,-72699,-0.6,0,0.0,0,0.0,61,3.7
"36081","1","1026","73","0","2021","1","","Queens County, New York","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,12,12,13,216893,0,0,1353,"",0.13,0.06,0.06,0.07,0.10,0.00,0.00,1.56,"",0,0.0,0,0.0,0,0.0,1,8.3,-9731,-4.3,0,0.0,0,0.0,-100,-6.9
"36081","1","1026","73","0","2021","2","","Queens County, New York","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,13,55,97,561586,0,0,785,"",0.13,0.06,0.26,0.44,0.20,0.00,0.00,0.77,"",0,0.0,0,0.0,42,323.1,23,31.1,251552,81.1,0,0.0,0,0.0,70,9.8
"36081","1","1026","73","0","2021","3","","Queens County, New York","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,115,112,48,610977,0,0,513,"",0.14,0.51,0.51,0.22,0.22,0.00,0.00,0.54,"",0,0.0,12,11.7,7,6.7,-61,-56.0,-337967,-35.6,0,0.0,0,0.0,-178,-25.8
"36081","1","1026","73","0","2021","4","","Queens County, New York","Federal Government","1026 Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,18,16,17,368110,0,0,1666,"",0.13,0.09,0.08,0.09,0.14,0.00,0.00,1.60,"",0,0.0,2,12.5,2,14.3,3,21.4,96204,35.4,0,0.0,0,0.0,240,16.8
"36081","1","1028","73","0","2021","1","","Queens County, New York","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",23,7976,7959,7940,161267191,0,0,1559,"",0.18,1.11,1.11,1.10,1.11,0.00,0.00,1.00,"",0,0.0,-329,-4.0,-429,-5.1,-475,-5.6,-5967504,-3.6,0,0.0,0,0.0,22,1.4
"36081","1","1028","73","0","2021","2","","Queens County, New York","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",23,7970,7940,7908,183800829,0,0,1781,"",0.18,1.10,1.09,1.08,1.00,0.00,0.00,0.92,"",0,0.0,-457,-5.4,-371,-4.5,-404,-4.9,-2631209,-1.4,0,0.0,0,0.0,64,3.7
"36081","1","1028","73","0","2021","3","","Queens County, New York","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",23,7875,7883,7872,167846993,0,0,1639,"",0.18,1.07,1.08,1.07,1.00,0.00,0.00,0.94,"",0,0.0,-614,-7.2,-4337,-35.5,-3617,-31.5,-13227511,-7.3,0,0.0,0,0.0,341,26.3
"36081","1","1028","73","0","2021","4","","Queens County, New York","Federal Government","1028 Public administration","County, by Supersector -- by ownership sector","All establishment sizes",23,7924,7928,7970,196082075,0,0,1899,"",0.18,1.08,1.08,1.08,1.07,0.00,0.00,0.99,"",0,0.0,-1183,-13.0,-315,-3.8,-64,-0.8,-4099662,-2.0,0,0.0,0,0.0,79,4.3
"36081","1","48-49","74","0","2021","1","","Queens County, New York","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",69,5012,4920,4926,82849886,0,0,1287,"",0.47,1.78,1.74,1.74,2.10,0.00,0.00,1.20,"",5,7.8,-51,-1.0,-89,-1.8,-91,-1.8,6117627,8.0,0,0.0,0,0.0,113,9.6
"36081","1","48-49","74","0","2021","2","","Queens County, New York","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",69,5326,4865,4913,91598485,0,0,1400,"",0.48,1.85,1.73,1.75,1.89,0.00,0.00,1.06,"",5,7.8,306,6.1,-61,-1.2,-60,-1.2,322327,0.4,0,0.0,0,0.0,-12,-0.8
"36081","1","48-49","74","0","2021","3","","Queens County, New York","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",69,4898,4909,4924,77597904,0,0,1216,"",0.48,1.73,1.75,1.73,1.85,0.00,0.00,1.07,"",-1,-1.4,-24,-0.5,-105,-2.1,-103,-2.0,-2282977,-2.9,0,0.0,0,0.0,-16,-1.3
"36081","1","48-49","74","0","2021","4","","Queens County, New York","Federal Government","NAICS 48-49 Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",69,4822,5135,5368,93511262,0,0,1408,"",0.47,1.71,1.76,1.81,1.88,0.00,0.00,1.07,"",0,0.0,-215,-4.3,-212,-4.0,-195,-3.5,561167,0.6,0,0.0,0,0.0,63,4.7
"36081","1","491","75","0","2021","1","","Queens County, New York","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",69,5012,4920,4926,82849886,0,0,1287,"",0.47,1.82,1.78,1.78,2.19,0.00,0.00,1.22,"",5,7.8,-51,-1.0,-89,-1.8,-91,-1.8,6117627,8.0,0,0.0,0,0.0,113,9.6
"36081","1","491","75","0","2021","2","","Queens County, New York","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",69,5326,4865,4913,91598485,0,0,1400,"",0.48,1.89,1.77,1.79,1.97,0.00,0.00,1.08,"",5,7.8,306,6.1,-61,-1.2,-60,-1.2,322327,0.4,0,0.0,0,0.0,-12,-0.8
"36081","1","491","75","0","2021","3","","Queens County, New York","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",69,4898,4909,4924,77597904,0,0,1216,"",0.48,1.76,1.79,1.76,1.94,0.00,0.00,1.09,"",-1,-1.4,-24,-0.5,-105,-2.1,-103,-2.0,-2282977,-2.9,0,0.0,0,0.0,-16,-1.3
"36081","1","491","75","0","2021","4","","Queens County, New York","Federal Government","NAICS 491 Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",69,4822,5135,5368,93511262,0,0,1408,"",0.47,1.75,1.79,1.85,1.96,0.00,0.00,1.09,"",0,0.0,-215,-4.3,-212,-4.0,-195,-3.5,561167,0.6,0,0.0,0,0.0,63,4.7
"36081","1","4911","76","0","2021","1","","Queens County, New York","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",69,5012,4920,4926,82849886,0,0,1287,"",0.47,1.82,1.78,1.78,2.19,0.00,0.00,1.22,"",5,7.8,-51,-1.0,-89,-1.8,-91,-1.8,6117627,8.0,0,0.0,0,0.0,113,9.6
"36081","1","4911","76","0","2021","2","","Queens County, New York","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",69,5326,4865,4913,91598485,0,0,1400,"",0.48,1.89,1.77,1.79,1.97,0.00,0.00,1.08,"",5,7.8,306,6.1,-61,-1.2,-60,-1.2,322327,0.4,0,0.0,0,0.0,-12,-0.8
"36081","1","4911","76","0","2021","3","","Queens County, New York","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",69,4898,4909,4924,77597904,0,0,1216,"",0.48,1.76,1.79,1.76,1.94,0.00,0.00,1.09,"",-1,-1.4,-24,-0.5,-105,-2.1,-103,-2.0,-2282977,-2.9,0,0.0,0,0.0,-16,-1.3
"36081","1","4911","76","0","2021","4","","Queens County, New York","Federal Government","NAICS 4911 Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",69,4822,5135,5368,93511262,0,0,1408,"",0.47,1.75,1.79,1.85,1.96,0.00,0.00,1.09,"",0,0.0,-215,-4.3,-212,-4.0,-195,-3.5,561167,0.6,0,0.0,0,0.0,63,4.7
"36081","1","49111","77","0","2021","1","","Queens County, New York","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",69,5012,4920,4926,82849886,0,0,1287,"",0.47,1.82,1.78,1.78,2.19,0.00,0.00,1.22,"",5,7.8,-51,-1.0,-89,-1.8,-91,-1.8,6117627,8.0,0,0.0,0,0.0,113,9.6
"36081","1","49111","77","0","2021","2","","Queens County, New York","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",69,5326,4865,4913,91598485,0,0,1400,"",0.48,1.89,1.77,1.79,1.97,0.00,0.00,1.08,"",5,7.8,306,6.1,-61,-1.2,-60,-1.2,322327,0.4,0,0.0,0,0.0,-12,-0.8
"36081","1","49111","77","0","2021","3","","Queens County, New York","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",69,4898,4909,4924,77597904,0,0,1216,"",0.48,1.76,1.79,1.76,1.94,0.00,0.00,1.09,"",-1,-1.4,-24,-0.5,-105,-2.1,-103,-2.0,-2282977,-2.9,0,0.0,0,0.0,-16,-1.3
"36081","1","49111","77","0","2021","4","","Queens County, New York","Federal Government","NAICS 49111 Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",69,4822,5135,5368,93511262,0,0,1408,"",0.47,1.75,1.79,1.85,1.96,0.00,0.00,1.09,"",0,0.0,-215,-4.3,-212,-4.0,-195,-3.5,561167,0.6,0,0.0,0,0.0,63,4.7
"36081","1","491110","78","0","2021","1","","Queens County, New York","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",69,5012,4920,4926,82849886,0,0,1287,"",0.47,1.82,1.78,1.78,2.19,0.00,0.00,1.22,"",5,7.8,-51,-1.0,-89,-1.8,-91,-1.8,6117627,8.0,0,0.0,0,0.0,113,9.6
"36081","1","491110","78","0","2021","2","","Queens County, New York","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",69,5326,4865,4913,91598485,0,0,1400,"",0.48,1.89,1.77,1.79,1.97,0.00,0.00,1.08,"",5,7.8,306,6.1,-61,-1.2,-60,-1.2,322327,0.4,0,0.0,0,0.0,-12,-0.8
"36081","1","491110","78","0","2021","3","","Queens County, New York","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",69,4898,4909,4924,77597904,0,0,1216,"",0.48,1.76,1.79,1.76,1.94,0.00,0.00,1.09,"",-1,-1.4,-24,-0.5,-105,-2.1,-103,-2.0,-2282977,-2.9,0,0.0,0,0.0,-16,-1.3
"36081","1","491110","78","0","2021","4","","Queens County, New York","Federal Government","NAICS 491110 Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",69,4822,5135,5368,93511262,0,0,1408,"",0.47,1.75,1.79,1.85,1.96,0.00,0.00,1.09,"",0,0.0,-215,-4.3,-212,-4.0,-195,-3.5,561167,0.6,0,0.0,0,0.0,63,4.7
"36081","1","62","74","0","2021","1","","Queens County, New York","Federal Government","NAICS 62 Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,537,545,538,10341268,0,0,1473,"",0.16,0.28,0.29,0.28,0.30,0.00,0.00,1.05,"",0,0.0,-4,-0.7,-6,-1.1,-9,-1.6,362013,3.6,0,0.0,0,0.0,68,4.8
