"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"36005","0","10","70","0","2022","1","","Bronx County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",20324,308698,312515,314348,4808301199,1455648820,41467652,1186,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1160,6.1,11854,4.0,13632,4.6,12719,4.2,367152514,8.3,124004639,9.3,-6788653,-14.1,44,3.9
"36005","0","10","70","0","2022","2","","Bronx County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",20022,315497,315439,315803,5252598053,571484710,16506598,1280,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",950,5.0,10590,3.5,10352,3.4,10759,3.5,380162736,7.8,35851396,6.7,-2946034,-15.1,51,4.1
"36005","0","10","70","0","2022","3","","Bronx County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",20186,310710,309617,313718,5351328959,332089655,9654045,1322,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",921,4.8,6971,2.3,8271,2.7,8409,2.8,374188863,7.5,27941171,9.2,-1418942,-12.8,60,4.8
"36005","0","10","70","0","2022","4","","Bronx County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",20180,316691,319289,318867,5370436284,260326201,7632914,1298,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",124,0.6,3907,1.2,4308,1.4,2621,0.8,-85772785,-1.6,-29137349,-10.1,-3063735,-28.6,-36,-2.7
"36005","1","10","71","0","2022","1","","Bronx County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",64,3814,3859,3858,83203779,0,0,1665,"",0.58,0.63,0.64,0.64,0.75,0.00,0.00,1.18,"",1,1.6,-69,-1.8,-22,-0.6,11,0.3,-105525,-0.1,0,0.0,0,0.0,9,0.5
"36005","1","10","71","0","2022","2","","Bronx County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",65,3841,3923,3910,94239979,0,0,1863,"",0.61,0.64,0.65,0.65,0.64,0.00,0.00,0.99,"",2,3.2,-23,-0.6,69,1.8,52,1.3,-611971,-0.6,0,0.0,0,0.0,-28,-1.5
"36005","1","10","71","0","2022","3","","Bronx County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",65,3902,3888,3909,94908834,0,0,1872,"",0.61,0.65,0.66,0.66,0.69,0.00,0.00,1.04,"",2,3.2,95,2.5,104,2.7,98,2.6,14065482,17.4,0,0.0,0,0.0,236,14.4
"36005","1","10","71","0","2022","4","","Bronx County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",65,3920,3932,3971,88456549,0,0,1727,"",0.62,0.66,0.65,0.66,0.67,0.00,0.00,1.03,"",2,3.2,110,2.9,93,2.4,64,1.6,-8173802,-8.5,0,0.0,0,0.0,-203,-10.5
"36005","1","102","72","0","2022","1","","Bronx County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",64,3814,3859,3858,83203779,0,0,1665,"",0.59,0.64,0.65,0.65,0.76,0.00,0.00,1.18,"",1,1.6,-69,-1.8,-22,-0.6,11,0.3,-105525,-0.1,0,0.0,0,0.0,9,0.5
"36005","1","102","72","0","2022","2","","Bronx County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",65,3841,3923,3910,94239979,0,0,1863,"",0.61,0.65,0.67,0.67,0.66,0.00,0.00,0.99,"",2,3.2,-23,-0.6,69,1.8,52,1.3,-611971,-0.6,0,0.0,0,0.0,-28,-1.5
