"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"36047","0","10","70","0","2022","1","","Kings County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",71607,793683,805497,812087,11017006539,4530877210,126665651,1054,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5842,8.9,55414,7.5,62462,8.4,59795,7.9,1167014729,11.8,520502332,13.0,-15593575,-11.0,36,3.5
"36047","0","10","70","0","2022","2","","Kings County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",70770,822886,828470,834556,11712820403,2097933391,58252357,1087,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5118,7.8,60445,7.9,59425,7.7,63072,8.2,1188515956,11.3,204054208,10.8,-8849055,-13.2,32,3.0
"36047","0","10","70","0","2022","3","","Kings County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",71670,823809,821362,833615,12041531244,1318682718,36707278,1121,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5358,8.1,60171,7.9,61029,8.0,61795,8.0,1421604064,13.4,159064745,13.7,-4989114,-12.0,54,5.1
"36047","0","10","70","0","2022","4","","Kings County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",71947,839788,853700,856852,12672711078,1044126252,30029022,1147,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2203,3.2,41133,5.2,45525,5.6,43272,5.3,368195796,3.0,-55922478,-5.1,-10155908,-25.3,-26,-2.2
"36047","1","10","71","0","2022","1","","Kings County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",92,7481,7548,7534,151712807,0,0,1552,"",0.24,0.48,0.48,0.48,0.59,0.00,0.00,1.24,"",-1,-1.1,-62,-0.8,58,0.8,37,0.5,-548662,-0.4,0,0.0,0,0.0,-8,-0.5
"36047","1","10","71","0","2022","2","","Kings County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",93,7591,7562,7588,173544271,0,0,1761,"",0.25,0.48,0.48,0.48,0.53,0.00,0.00,1.11,"",0,0.0,-403,-5.0,-43,-0.6,-10,-0.1,-377474,-0.2,0,0.0,0,0.0,31,1.8
"36047","1","10","71","0","2022","3","","Kings County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",96,7594,7580,7612,170881985,0,0,1731,"",0.26,0.48,0.49,0.48,0.55,0.00,0.00,1.14,"",4,4.3,23,0.3,-4,-0.1,54,0.7,20969841,14.0,0,0.0,0,0.0,208,13.7
"36047","1","10","71","0","2022","4","","Kings County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",95,7569,7629,7685,160233036,0,0,1616,"",0.26,0.48,0.47,0.47,0.52,0.00,0.00,1.09,"",3,3.3,191,2.6,-91,-1.2,-234,-3.0,-14547297,-8.3,0,0.0,0,0.0,-136,-7.8
"36047","1","102","72","0","2022","1","","Kings County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",92,7481,7548,7534,151712807,0,0,1552,"",0.24,0.49,0.49,0.49,0.61,0.00,0.00,1.24,"",-1,-1.1,-62,-0.8,58,0.8,37,0.5,-548662,-0.4,0,0.0,0,0.0,-8,-0.5
"36047","1","102","72","0","2022","2","","Kings County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",93,7591,7562,7588,173544271,0,0,1761,"",0.25,0.49,0.49,0.49,0.54,0.00,0.00,1.11,"",0,0.0,-403,-5.0,-43,-0.6,-10,-0.1,-377474,-0.2,0,0.0,0,0.0,31,1.8
"36047","1","102","72","0","2022","3","","Kings County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",96,7594,7580,7612,170881985,0,0,1731,"",0.26,0.49,0.50,0.49,0.56,0.00,0.00,1.14,"",4,4.3,23,0.3,-4,-0.1,54,0.7,20969841,14.0,0,0.0,0,0.0,208,13.7
"36047","1","102","72","0","2022","4","","Kings County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",95,7569,7629,7685,160233036,0,0,1616,"",0.26,0.49,0.48,0.48,0.53,0.00,0.00,1.08,"",3,3.3,191,2.6,-91,-1.2,-234,-3.0,-14547297,-8.3,0,0.0,0,0.0,-136,-7.8
"36047","1","1021","73","0","2022","1","","Kings County, New York","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",58,4210,4241,4204,72097344,0,0,1315,"",0.30,1.15,1.15,1.14,1.60,0.00,0.00,1.39,"",0,0.0,47,1.1,128,3.1,110,2.7,-2241899,-3.0,0,0.0,0,0.0,-72,-5.2
"36047","1","1021","73","0","2022","2","","Kings County, New York","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",58,4249,4182,4202,78611176,0,0,1436,"",0.31,1.15,1.14,1.15,1.42,0.00,0.00,1.24,"",0,0.0,-301,-6.6,17,0.4,67,1.6,-6276463,-7.4,0,0.0,0,0.0,-88,-5.8
"36047","1","1021","73","0","2022","3","","Kings County, New York","Federal Government","1021 Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",58,4204,4184,4199,80643140,0,0,1479,"",0.31,1.14,1.17,1.15,1.44,0.00,0.00,1.25,"",0,0.0,109,2.7,60,1.5,49,1.2,10598052,15.1,0,0.0,0,0.0,172,13.2
