"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"36059","0","10","70","0","2022","1","","Nassau County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",56431,601694,605441,609992,10998496434,3856399929,107897232,1397,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2914,5.4,32314,5.7,33768,5.9,32692,5.7,980704362,9.8,364199208,10.4,-14088595,-11.5,52,3.9
"36059","0","10","70","0","2022","2","","Nassau County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",55357,616052,621011,629984,11470157567,1297803670,38203381,1418,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1996,3.7,29750,5.1,29715,5.0,28300,4.7,904890357,8.6,98165457,8.2,-4859787,-11.3,48,3.5
"36059","0","10","70","0","2022","3","","Nassau County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",55898,611383,606837,622939,11040162163,842775742,25078208,1384,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2137,4.0,29094,5.0,29413,5.1,28438,4.8,1157522714,11.7,75819967,9.9,-2799250,-10.0,84,6.5
"36059","0","10","70","0","2022","4","","Nassau County, New York","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",55843,627383,632700,631991,12162713122,665375980,19670896,1483,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",227,0.4,16031,2.6,15819,2.6,11610,1.9,-128068328,-1.0,-69422760,-9.4,-6845405,-25.8,-51,-3.3
"36059","1","10","71","0","2022","1","","Nassau County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",108,5221,5248,5188,107581404,0,0,1586,"",0.35,0.44,0.45,0.44,0.42,0.00,0.00,0.95,"",3,2.9,38,0.7,-2,0.0,-48,-0.9,2754764,2.6,0,0.0,0,0.0,42,2.7
"36059","1","10","71","0","2022","2","","Nassau County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",108,5232,5156,5169,123701489,0,0,1835,"",0.37,0.44,0.44,0.43,0.39,0.00,0.00,0.88,"",3,2.9,-83,-1.6,-45,-0.9,-29,-0.6,3934953,3.3,0,0.0,0,0.0,76,4.3
"36059","1","10","71","0","2022","3","","Nassau County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",105,5202,5161,5217,119928932,0,0,1776,"",0.36,0.44,0.45,0.44,0.42,0.00,0.00,0.94,"",0,0.0,-16,-0.3,-63,-1.2,1,0.0,14286781,13.5,0,0.0,0,0.0,219,14.1
"36059","1","10","71","0","2022","4","","Nassau County, New York","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",106,5212,5361,5463,121172710,0,0,1744,"",0.37,0.44,0.45,0.46,0.41,0.00,0.00,0.91,"",0,0.0,46,0.9,143,2.7,142,2.7,-2905830,-2.3,0,0.0,0,0.0,-79,-4.3
"36059","1","102","72","0","2022","1","","Nassau County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",108,5221,5248,5188,107581404,0,0,1586,"",0.36,0.45,0.45,0.45,0.43,0.00,0.00,0.95,"",3,2.9,38,0.7,-2,0.0,-48,-0.9,2754764,2.6,0,0.0,0,0.0,42,2.7
"36059","1","102","72","0","2022","2","","Nassau County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",108,5232,5156,5169,123701489,0,0,1835,"",0.37,0.45,0.44,0.44,0.39,0.00,0.00,0.88,"",3,2.9,-83,-1.6,-45,-0.9,-29,-0.6,3934953,3.3,0,0.0,0,0.0,76,4.3
"36059","1","102","72","0","2022","3","","Nassau County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",105,5202,5161,5217,119928932,0,0,1776,"",0.36,0.45,0.46,0.45,0.43,0.00,0.00,0.95,"",0,0.0,-16,-0.3,-63,-1.2,1,0.0,14286781,13.5,0,0.0,0,0.0,219,14.1
"36059","1","102","72","0","2022","4","","Nassau County, New York","Federal Government","102 Service-providing","County, by Domain -- by ownership sector","All establishment sizes",106,5212,5361,5463,121172710,0,0,1744,"",0.37,0.45,0.46,0.47,0.41,0.00,0.00,0.91,"",0,0.0,46,0.9,143,2.7,142,2.7,-2905830,-2.3,0,0.0,0,0.0,-79,-4.3
